E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0002;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Richard                                           ;Andersson                                         ;1;033;järjestelmäasiantuntija                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;EKV-2019  ;0000274;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0003;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ville                                             ;Hautakangas                                       ;1;045;tietotekniikka-asiantuntija                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000185;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0004;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sakari                                            ;Helke                                             ;1;042;rehtori                                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0005;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Satu                                              ;Immonen                                           ;2;053;filosofian ylioppilas, puolueen varapuheenjohtaja                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000131;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0006;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Simone                                            ;Kallio                                            ;2;035;insinööri, vapaa toimittaja                                                                                                                                                                             ;765;Sotkamo                                 ;Sotkamo                                 ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0007;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Roni                                              ;Kantola                                           ;1;035;luonnontieteiden kandidaatti                                                                                                                                                                            ;092;Vantaa                                  ;Vanda                                   ;FI; ; ; ; ;EKV-2019  ;0000392;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0008;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Olavi                                             ;Kaukamieli                                        ;1;035;insinööri                                                                                                                                                                                               ;858;Tuusula                                 ;Tusby                                   ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0009;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Timo                                              ;Kyttä                                             ;1;058;järjestelmäasiantuntija                                                                                                                                                                                 ;905;Vaasa                                   ;Vasa                                    ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0010;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Albert                                            ;Laine                                             ;1;044;tuottaja, taiteilija                                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0011;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jarno                                             ;Luoma-Nirva                                       ;1;047;diplomi-insinööri, ohjelmistosuunnittelija                                                                                                                                                              ;418;Lempäälä                                ;Lempäälä                                ;FI; ; ; ; ;EKV-2019  ;0000106;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0012;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Marek                                             ;Necada                                            ;1;032;tekniikan tohtori, fyysikko                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0013;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Reetta                                            ;Ojala                                             ;2;037;sairaanhoitaja, luonnontieteiden kandidaatti                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0014;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Aki                                               ;Oksala                                            ;1;045;näyttelijä, tapahtumatuottaja                                                                                                                                                                           ;698;Rovaniemi                               ;Rovaniemi                               ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0015;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Samuel                                            ;Peiponen                                          ;1;028;insinööri                                                                                                                                                                                               ;729;Saarijärvi                              ;Saarijärvi                              ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0016;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Janne                                             ;Pitkänen                                          ;1;040;diplomi-insinööri, yrittäjä                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000278;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0017;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ari-Pekka                                         ;Pulkkis                                           ;1;034;insinööri, tradenomi                                                                                                                                                                                    ;905;Vaasa                                   ;Vasa                                    ;FI; ; ; ; ;EKV-2019  ;0000268;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0018;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kausti                                            ;Rantalainen                                       ;1;047;insinööri                                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000177;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0019;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Hannele                                           ;Rehuttu                                           ;2;042;asentaja, varastopäällikkö                                                                                                                                                                              ;020;Akaa                                    ;Ackas                                   ;FI; ; ; ; ;EKV-2019  ;0000026;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0020;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Elias                                             ;Vartio                                            ;1;037;oikeustieteen maisteri, valtiotieteiden maisteri                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;11;01;01;PIR   ;PIR   ;PIR   ;0021;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pietari                                           ;Virtanen                                          ;1;027;musiikin tuottaja, opiskelija                                                                                                                                                                           ;768;Sulkava                                 ;Sulkava                                 ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0022;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Amos                                              ;Ahola                                             ;1;040;johtaja                                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000327;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0023;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kimmo                                             ;Haanpää                                           ;1;037;diplomi-insinööri                                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0024;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ilkka                                             ;Haapaniemi                                        ;1;048;toimitusjohtaja                                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0025;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mikko                                             ;Hirvonen                                          ;1;039;tekniikan ylioppilas, merkonomi                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;EN; ; ; ; ;EKV-2019  ;0000074;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0026;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mika                                              ;Isomaa                                            ;1;041;ohjelmistotuottaja                                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0027;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Juha                                              ;Itkonen                                           ;1;039;yrittäjä, valtiotieteiden tohtori                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
